<<<<<<< Updated upstream
Hit_tcid	Hit_xid	#Query_id	Match_length	e-value	%_identity	Query_Length	Hit_Length	Q_start	Q_end	S_start	S_end	Query_Coverage	Hit_Coverage	Query_n_TMS	Hit_n_TMS	TM_Overlap_Score	Family_Abrv	Predicted_Substrate	Query_Pfam	Subject_Pfam	isFusion	Missing_components
1.B.42.1.2	P0ADW0	WP_008806651.1	191.0	2.98202e-120	85.0	191.0	191.0	1.0	191.0	1.0	191.0	99.5	99.5	1.0	1.0	1.0	LPS-EP	CHEBI:6494;lipopolysaccharide	PF06835	PF06835	NA	NA
1.B.42.1.2	P0ADV1	WP_002918415.1	185.0	1.39361e-105	81.0	181.0	185.0	1.0	181.0	1.0	185.0	99.4	99.5	1.0	1.0	1.0	LPS-EP	CHEBI:6494;lipopolysaccharide	PF03968	PF03968	NA	NA
1.B.42.1.2	P0ADC1	WP_100781417.1	195.0	2.2703900000000002e-96	71.0	196.0	193.0	1.0	195.0	1.0	192.0	99.0	99.0	1.0	2.0	1.0	LPS-EP	CHEBI:6494;lipopolysaccharide	PF04390	PF04390	NA	NA
1.B.42.1.2	P0A9V1	NA	241.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
1.B.42.1.2	P0ADC6	NA	360.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.0	NA	NA	NA	NA	NA	NA	NA
1.B.42.1.2	P0AF98	NA	366.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.0	NA	NA	NA	NA	NA	NA	NA
1.C.75.1.2	WP_052259317	WP_032734974.1	582.0	3.95338e-59	30.0	597.0	3456.0	24.0	582.0	81.0	616.0	93.5	15.5	1.0	1.0	0.0	B-PFT	CHEBI:25367;molecule	PF05860	PF05860,PF13332,PF13332,PF13332,PF05594,PF05594,PF05594,PF05594,PF05594,PF05594,PF05594,PF05594,PF05594,PF05594,PF05594,PF05594,PF05594,PF05594,PF05594,PF05594,PF05594,PF05594,PF05594,PF05594,PF05594,PF05594,PF05594,PF04829,PF13018	WP_032734974.1 WP_041165210.1 	NA
1.C.75.1.2	WP_052259317	WP_041165210.1	209.0	2.46961e-40	44.0	221.0	3456.0	2.0	194.0	2956.0	3164.0	86.9	6.0	2.0	1.0	0.0	B-PFT	CHEBI:25367;molecule	NA	PF05860,PF13332,PF13332,PF13332,PF05594,PF05594,PF05594,PF05594,PF05594,PF05594,PF05594,PF05594,PF05594,PF05594,PF05594,PF05594,PF05594,PF05594,PF05594,PF05594,PF05594,PF05594,PF05594,PF05594,PF05594,PF05594,PF05594,PF04829,PF13018	WP_032734974.1 WP_041165210.1 	NA
1.C.75.1.2	WP_052259317	WP_227518037.1	220.0	1.56811e-14	30.0	292.0	3456.0	3.0	202.0	3004.0	3214.0	68.2	6.1	1.0	1.0	0.0	B-PFT	CHEBI:25367;molecule	NA	PF05860,PF13332,PF13332,PF13332,PF05594,PF05594,PF05594,PF05594,PF05594,PF05594,PF05594,PF05594,PF05594,PF05594,PF05594,PF05594,PF05594,PF05594,PF05594,PF05594,PF05594,PF05594,PF05594,PF05594,PF05594,PF05594,PF05594,PF04829,PF13018	WP_032734974.1 WP_041165210.1 	NA
1.C.75.1.7	B1Z6U1	WP_012540632.1	230.0	0.000165862	27.0	331.0	2818.0	60.0	274.0	804.0	1022.0	64.7	7.7	1.0	1.0	0.0	B-PFT	CHEBI:25367;molecule	PF00419	PF05860	NA	NA
2.A.1.3.24	O51918	WP_096834643.1	357.0	3.95752e-50	34.0	361.0	395.0	25.0	361.0	27.0	380.0	93.1	89.4	1.0	3.0	1.0	MFS	CHEBI:23614;deoxycholate, CHEBI:3259;CCCP, CHEBI:3603;chloramphenicol, CHEBI:7456;nalidixic acid	PF13437,PF16576,PF13533,PF00529	PF13437,PF00529,PF16576	NA	NA
2.A.1.3.24	O51919	NA	511.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.0	NA	NA	NA	NA	NA	NA	NA
2.A.1.3.64	Q0S4G7	WP_032432808.1	133.0	0.000981683	32.0	201.0	513.0	10.0	136.0	98.0	216.0	62.7	23.0	3.0	14.0	2.0	MFS	CHEBI:29747;cholate	PF06805	PF07690,PF07690,PF00083,PF00083	NA	NA
2.A.1.91.1	Q8IIJ7	WP_008804585.1	70.0	1.31337e-06	24.0	172.0	1283.0	30.0	99.0	793.0	862.0	40.1	5.4	2.0	13.0	0.0	MFS	None	NA	NA	NA	NA
2.A.108.2.3	P75901	WP_008805948.1	276.0	1.21661e-177	89.0	276.0	276.0	1.0	276.0	1.0	276.0	99.6	99.6	6.0	6.0	6.0	ILT	CHEBI:34754;iron(2+)	PF03239	PF03239	NA	NA
2.A.108.2.3	P0AB24	NA	375.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
2.A.108.2.3	P31545	NA	423.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
2.A.109.2.3	L5DDD7	WP_004205441.1	228.0	2.40523e-74	52.0	237.0	896.0	5.0	230.0	372.0	599.0	94.9	25.3	7.0	7.0	7.0	TerC	None	PF03741	PF03741,PF03471,PF13683,PF00571,PF00571,PF00665	WP_012967582.1 WP_008804290.1 WP_004205441.1 	NA
2.A.113.1.1	P64534	WP_008805507.1	66.0	5.54585e-11	38.0	151.0	112.0	75.0	140.0	35.0	100.0	43.0	58.0	1.0	1.0	0.0	NicO	CHEBI:23337;cobalt(2+), CHEBI:25517;nickel(2+)	PF11776	PF11776	NA	NA
2.A.114.1.1	P15078	WP_008805590.1	701.0	0.0	93.0	701.0	701.0	1.0	701.0	1.0	701.0	99.9	99.9	18.0	18.0	18.0	CstA	CHEBI:15361;pyruvate, CHEBI:25906;peptide	PF02554,PF13722	PF02554,PF13722	NA	NA
2.A.114.1.1	P0AAS9	NA	65.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
2.A.127.1.11	WP_105898733	WP_012542938.1	334.0	6.88827e-13	22.0	763.0	641.0	130.0	454.0	242.0	556.0	42.5	49.0	3.0	5.0	0.0	CLT	None	PF00884	PF00884	NA	NA
2.A.128.2.3	WP_087280510	WP_012968939.1	352.0	1.33049e-19	27.0	452.0	743.0	24.0	349.0	280.0	621.0	71.9	45.9	1.0	3.0	0.0	VanZ	None	PF08245,PF02875,PF01225	PF08245,PF04892,PF02875,PF01225	NA	NA
2.A.128.2.3	WP_087280510	WP_008807431.1	336.0	1.29093e-08	25.0	491.0	743.0	77.0	379.0	316.0	631.0	61.5	42.4	1.0	3.0	0.0	VanZ	None	PF01225,PF08245,PF02875	PF08245,PF04892,PF02875,PF01225	NA	NA
2.A.21.9.1	Q9HV74	WP_100781665.1	235.0	1.04267e-30	36.0	464.0	983.0	227.0	453.0	742.0	974.0	48.7	23.6	2.0	13.0	0.0	SSS	None	PF02518,PF00512	PF02518,PF00512,PF00989	NA	NA
2.A.21.9.1	Q9HV74	WP_100781478.1	245.0	5.96298e-19	31.0	474.0	983.0	241.0	471.0	742.0	975.0	48.5	23.7	2.0	13.0	0.0	SSS	None	PF02518,PF00512	PF02518,PF00512,PF00989	NA	NA
2.A.21.9.2	Q93N33	WP_008805073.1	265.0	1.32741e-16	26.0	433.0	1156.0	166.0	417.0	750.0	1006.0	58.0	22.1	3.0	13.0	0.0	SSS	CHEBI:26271;proline	PF02518,PF00512,PF00672	PF12860,PF02518,PF00512,PF00072	NA	NA
2.A.21.9.2	Q93N33	WP_100781001.1	275.0	1.38487e-14	27.0	447.0	1156.0	178.0	434.0	742.0	1013.0	57.3	23.4	2.0	13.0	0.0	SSS	CHEBI:26271;proline	PF02518	PF12860,PF02518,PF00512,PF00072	NA	NA
2.A.25.1.6	B0SM05	WP_012969117.1	273.0	1.47481e-47	36.0	320.0	748.0	1.0	269.0	457.0	721.0	83.8	35.3	1.0	12.0	0.0	AGCS	CHEBI:9175;sodium(1+), CHEBI:2539;alanine	PF02666	PF02666,PF01235	NA	NA
2.A.37.1.1	P03819	WP_100781232.1	621.0	0.0	86.0	621.0	620.0	1.0	621.0	1.0	620.0	99.8	99.8	13.0	12.0	12.0	CPA2	CHEBI:8345;potassium(1+)	PF00999,PF02254	PF00999,PF02254	NA	NA
2.A.37.1.1	P0A754	NA	176.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
2.A.37.1.2	P45522	WP_008807038.1	601.0	0.0	90.0	601.0	601.0	1.0	601.0	1.0	601.0	99.8	99.8	13.0	13.0	13.0	CPA2	CHEBI:8345;potassium(1+)	PF00999,PF02254	PF00999,PF02254	NA	NA
2.A.37.1.2	P0A756	NA	184.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
2.A.37.3.2	Q3A884	WP_038421646.1	174.0	0.000912056	27.0	280.0	577.0	98.0	260.0	88.0	250.0	57.9	28.1	7.0	13.0	5.0	CPA2	CHEBI:3473;cation	NA	PF00571,PF00571	NA	NA
2.A.38.1.1	P0AFZ7	WP_008807923.1	483.0	0.0	96.0	483.0	483.0	1.0	483.0	1.0	483.0	99.8	99.8	11.0	11.0	11.0	Trk	CHEBI:8345;potassium(1+)	PF02386	PF02386	NA	NA
2.A.38.1.1	P0AGI8	NA	458.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
2.A.53.3.8	Q8F8H7	WP_022064746.1	207.0	9.54959e-38	41.0	224.0	750.0	7.0	213.0	544.0	729.0	92.0	24.7	1.0	10.0	0.0	SulP	CHEBI:5589;hydrogencarbonate, CHEBI:9335;sulfate	PF00484	PF00916,PF00484	WP_100781449.1 WP_022064746.1 	NA
2.A.6.1.4	P38054	WP_100781695.1	1047.0	0.0	90.0	1049.0	1047.0	1.0	1047.0	1.0	1047.0	99.7	99.9	12.0	12.0	12.0	RND	CHEBI:49551;copper(1+), CHEBI:49468;silver(1+)	PF00873	PF00873	NA	NA
2.A.6.1.4	P77239	WP_100781696.1	419.0	0.0	78.0	420.0	407.0	6.0	420.0	1.0	407.0	98.6	99.8	1.0	1.0	1.0	RND	CHEBI:49551;copper(1+), CHEBI:49468;silver(1+)	PF16576,PF16572,PF13437,PF19335	PF16576,PF16572,PF13437,PF19335,PF00529	NA	NA
2.A.6.1.4	P77214	NA	110.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
2.A.6.2.19	Q8GC83	WP_016161998.1	1035.0	0.0	98.0	1035.0	1035.0	1.0	1035.0	1.0	1035.0	99.9	99.9	12.0	12.0	12.0	RND	CHEBI:24870;ion, CHEBI:3717;ciprofloxacin, CHEBI:3603;chloramphenicol, CHEBI:9474;tetracycline, CHEBI:4713;doxycycline, CHEBI:4841;erythromycin A	PF00873	PF00873	NA	NA
2.A.6.2.19	Q8GC82	NA	454.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
2.A.6.2.19	Q8GC84	NA	374.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
2.A.6.2.2	P31224	WP_008805437.1	1049.0	0.0	91.0	1048.0	1049.0	1.0	1048.0	1.0	1049.0	99.9	99.9	12.0	12.0	12.0	RND	CHEBI:8150;phospholipid, CHEBI:3098;bile acid, CHEBI:42478;ethidium, CHEBI:26764;steroid hormone, CHEBI:48219;disinfectant, CHEBI:27780;detergent, CHEBI:23888;drug, CHEBI:37958;dye	PF00873,PF03176	PF00873,PF03176	NA	NA
2.A.6.2.2	P0AAW9	NA	49.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
2.A.6.2.27	Q9I6X4	WP_100781025.1	1000.0	0.0	49.0	1024.0	1015.0	9.0	1007.0	5.0	1004.0	97.5	98.4	12.0	12.0	12.0	RND	CHEBI:29697;triclosan	PF00873	PF00873	NA	NA
2.A.6.2.27	Q9HUJ1	NA	482.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
2.A.6.2.27	Q9I6X5	NA	356.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
2.A.6.2.27	Q9I6X6	NA	383.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
2.A.6.2.34	Q4LDT6	WP_100781060.1	1036.0	0.0	43.0	1030.0	1053.0	4.0	1029.0	6.0	1040.0	99.5	98.2	12.0	12.0	12.0	RND	CHEBI:3603;chloramphenicol, CHEBI:9474;tetracycline, CHEBI:87211;fluoroquinolone antibiotic, CHEBI:25106;macrolide	PF00873,PF03176,PF03176	PF00873,PF03176,PF02355	NA	NA
2.A.6.2.34	Q9HY86	NA	385.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
2.A.6.2.34	Q9HY88	NA	491.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
2.A.6.2.49	W9BHF5	WP_100780925.1	1038.0	0.0	99.0	1038.0	1038.0	1.0	1038.0	1.0	1038.0	99.9	99.9	12.0	12.0	12.0	RND	CHEBI:29696;tigecycline, CHEBI:29696;tigecycline, CHEBI:23888;drug	PF00873,PF03176	PF00873,PF03176	NA	NA
2.A.6.2.49	Q93K41	WP_008805438.1	399.0	0.0	94.0	397.0	398.0	1.0	397.0	1.0	398.0	99.7	99.7	1.0	1.0	1.0	RND	CHEBI:29696;tigecycline, CHEBI:29696;tigecycline, CHEBI:23888;drug	PF16576,PF00529,PF13437	PF00529	NA	NA
2.A.6.2.49	A6T6J1	NA	49.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
2.A.64.1.1	P69425	WP_008807932.1	178.0	1.54261e-82	74.0	178.0	171.0	1.0	178.0	1.0	171.0	99.4	99.4	1.0	1.0	1.0	Tat	None	NA	NA	NA	NA
2.A.7.22.1	P76474	WP_008806957.1	126.0	7.80154e-39	52.0	126.0	128.0	1.0	126.0	1.0	126.0	99.2	97.7	4.0	4.0	4.0	DMT	CHEBI:59062;polymyxin	NA	NA	NA	NA
2.A.7.22.1	Q47377	NA	111.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.0	NA	NA	NA	NA	NA	NA	NA
2.A.7.22.2	P81891	WP_008806956.1	109.0	3.80801e-53	68.0	112.0	111.0	3.0	111.0	2.0	110.0	96.4	97.3	4.0	3.0	3.0	DMT	CHEBI:22600;arabinose phosphate	PF00892	PF00892	NA	NA
2.A.7.22.2	Q8Z537	NA	125.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.0	NA	NA	NA	NA	NA	NA	NA
2.A.7.3.49	D9SZH8	WP_012541129.1	160.0	0.000117468	30.0	191.0	803.0	20.0	172.0	95.0	252.0	79.6	19.6	6.0	10.0	6.0	DMT	CHEBI:7990;peptide	NA	PF00082	NA	NA
2.A.78.1.3	P43667	WP_008806143.1	107.0	1.2766e-53	73.0	111.0	111.0	1.0	107.0	1.0	107.0	95.5	95.5	4.0	3.0	3.0	LIV-E	CHEBI:6829;methionine	PF05437	PF05437	NA	NA
2.A.78.2.3	Q1D213	WP_008807893.1	96.0	1.1878899999999999e-20	44.0	107.0	102.0	11.0	106.0	6.0	101.0	88.8	93.1	4.0	3.0	3.0	LIV-E	CHEBI:22918;branched-chain amino acid	PF05437	PF05437	NA	NA
2.C.1.2.1	P0A855	WP_008805693.1	430.0	0.0	92.0	430.0	430.0	1.0	430.0	1.0	430.0	99.8	99.8	1.0	1.0	1.0	TonB/TolA	CHEBI:8150;phospholipid	PF07676,PF07676,PF07676,PF07676,PF04052,PF00930	PF07676,PF07676,PF07676,PF07676,PF04052,PF00930	NA	NA
2.C.1.2.1	P19934	WP_100781409.1	452.0	0.0	74.0	445.0	421.0	1.0	444.0	1.0	421.0	99.6	99.8	2.0	2.0	2.0	TonB/TolA	CHEBI:8150;phospholipid	PF06519	PF06519	NA	NA
2.C.1.2.1	P45955	WP_008805694.1	270.0	2.92955e-161	86.0	266.0	263.0	1.0	265.0	1.0	263.0	99.2	99.6	1.0	1.0	1.0	TonB/TolA	CHEBI:8150;phospholipid	PF16331,PF13174,PF13174,PF13174,PF13432	PF16331,PF13174,PF13174,PF13174,PF13432,PF13432	NA	NA
2.C.1.2.1	C6EJJ6	WP_002895068.1	174.0	2.10151e-116	96.0	174.0	173.0	1.0	174.0	1.0	173.0	99.4	99.4	1.0	1.0	1.0	TonB/TolA	CHEBI:8150;phospholipid	PF00691	PF00691	NA	NA
2.C.1.2.1	P19934	WP_100780912.1	126.0	1.56717e-13	44.0	154.0	421.0	21.0	136.0	164.0	289.0	74.7	29.7	1.0	2.0	0.0	TonB/TolA	CHEBI:8150;phospholipid	NA	PF06519	NA	NA
2.C.1.2.1	P19934	WP_043875352.1	150.0	4.95388e-11	40.0	139.0	421.0	16.0	139.0	137.0	286.0	88.5	35.4	1.0	2.0	0.0	TonB/TolA	CHEBI:8150;phospholipid	NA	PF06519	NA	NA
3.A.1.1.1	P02916	WP_008807314.1	514.0	0.0	89.0	514.0	514.0	1.0	514.0	1.0	514.0	99.8	99.8	8.0	8.0	8.0	ABC	CHEBI:17593;maltooligosaccharide, CHEBI:6668;maltose	PF14785,PF00528	PF14785,PF00528	NA	NA
3.A.1.1.1	P68183	WP_002884725.1	296.0	0.0	93.0	296.0	296.0	1.0	296.0	1.0	296.0	99.7	99.7	6.0	6.0	6.0	ABC	CHEBI:17593;maltooligosaccharide, CHEBI:6668;maltose	PF00528	PF00528	NA	NA
3.A.1.1.1	P0AEX9	WP_008807313.1	396.0	0.0	94.0	396.0	396.0	1.0	396.0	1.0	396.0	99.7	99.7	1.0	1.0	1.0	ABC	CHEBI:17593;maltooligosaccharide, CHEBI:6668;maltose	PF01547,PF13416	PF01547,PF13416	NA	NA
3.A.1.1.1	P68187	NA	371.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
3.A.1.1.11	Q93KC0	WP_004205419.1	296.0	0.0	92.0	296.0	296.0	1.0	296.0	1.0	296.0	99.7	99.7	6.0	6.0	6.0	ABC	CHEBI:62533;oligogalacturonide	PF00528	PF00528	NA	NA
3.A.1.1.11	Q93KB9	WP_008806346.1	300.0	0.0	88.0	300.0	300.0	1.0	300.0	1.0	300.0	99.7	99.7	7.0	7.0	7.0	ABC	CHEBI:62533;oligogalacturonide	PF00528	PF00528	NA	NA
3.A.1.1.11	Q93KB8	NA	375.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
3.A.1.1.11	Q93KB7	NA	430.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
3.A.1.1.15	Q97ZC1	WP_032736694.1	200.0	5.50503e-21	29.0	285.0	267.0	82.0	281.0	68.0	262.0	69.8	72.7	6.0	7.0	5.0	ABC	CHEBI:10202;alpha,alpha-trehalose	PF00528	PF00528	NA	NA
3.A.1.1.15	Q97ZC3	NA	477.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
3.A.1.1.15	Q97ZC2	NA	275.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.0	NA	NA	NA	NA	NA	NA	NA
3.A.1.1.15	Q97ZC0	NA	324.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
3.A.1.1.2	O32261	WP_008805425.1	416.0	0.0	67.0	435.0	418.0	17.0	432.0	2.0	417.0	95.4	99.3	8.0	8.0	8.0	ABC	CHEBI:24151;galactooligosaccharide	PF00528	PF00528	NA	NA
3.A.1.1.2	O07011	WP_004204761.1	279.0	5.0952e-134	66.0	283.0	283.0	7.0	283.0	5.0	283.0	97.5	98.2	6.0	6.0	5.0	ABC	CHEBI:24151;galactooligosaccharide	PF00528	PF00528	NA	NA
3.A.1.1.2	O07009	NA	421.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.0	NA	NA	NA	NA	NA	NA	NA
3.A.1.1.25	Q72H67	WP_012541290.1	291.0	5.5666e-73	39.0	302.0	291.0	4.0	294.0	2.0	283.0	96.0	96.6	6.0	6.0	6.0	ABC	CHEBI:10202;alpha,alpha-trehalose, CHEBI:6668;maltose, CHEBI:9314;sucrose, CHEBI:7893;6-O-alpha-D-glucopyranosyl-D-fructofuranose	PF00528	PF00528	NA	NA
3.A.1.1.25	Q72L52	NA	376.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
3.A.1.1.25	Q72H68	NA	429.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
3.A.1.1.25	Q72H66	NA	280.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.0	NA	NA	NA	NA	NA	NA	NA
3.A.1.1.3	P0AG80	WP_008806974.1	438.0	0.0	90.0	438.0	438.0	1.0	438.0	1.0	438.0	99.8	99.8	1.0	1.0	1.0	ABC	CHEBI:14336;glycerol 1-phosphate	PF13416,PF01547	PF13416,PF01547	NA	NA
3.A.1.1.3	P10905	WP_012967120.1	295.0	0.0	94.0	295.0	295.0	1.0	295.0	1.0	295.0	99.7	99.7	6.0	6.0	6.0	ABC	CHEBI:14336;glycerol 1-phosphate	PF00528	PF00528	NA	NA
3.A.1.1.3	P10906	WP_008806976.1	281.0	0.0	90.0	281.0	281.0	1.0	281.0	1.0	281.0	99.6	99.6	6.0	7.0	5.0	ABC	CHEBI:14336;glycerol 1-phosphate	PF00528	PF00528	NA	NA
3.A.1.1.3	P10905	WP_165787422.1	293.0	1.15194e-49	32.0	294.0	295.0	2.0	293.0	5.0	295.0	99.0	98.3	6.0	6.0	6.0	ABC	CHEBI:14336;glycerol 1-phosphate	PF00528	PF00528	NA	NA
3.A.1.1.3	P10907	NA	356.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
3.A.1.1.41	G4FGN8	WP_008804325.1	406.0	2.11367e-50	30.0	414.0	411.0	13.0	406.0	8.0	401.0	94.9	95.6	1.0	1.0	1.0	ABC	CHEBI:10202;alpha,alpha-trehalose	PF01547,PF13416	PF01547,PF13416	NA	NA
3.A.1.1.41	G4FGN7	NA	293.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.0	NA	NA	NA	NA	NA	NA	NA
3.A.1.1.41	G4FGN6	NA	278.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.0	NA	NA	NA	NA	NA	NA	NA
3.A.1.1.51	Q6MNM1	WP_032738925.1	271.0	7.07654e-44	33.0	279.0	272.0	11.0	279.0	8.0	272.0	96.1	97.1	7.0	6.0	6.0	ABC	CHEBI:10202;alpha,alpha-trehalose, CHEBI:23489;alpha-cyclodextrin, CHEBI:62009;maltoheptaose heptasaccharide, CHEBI:6668;maltose, CHEBI:6672;alpha-maltotriose, CHEBI:6671;maltotetraose, CHEBI:61996;maltopentaose pentasaccharide	PF00528	PF00528	NA	NA
3.A.1.1.51	Q6MNM0	NA	733.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.0	NA	NA	NA	NA	NA	NA	NA
3.A.1.1.51	Q6MNM2	NA	347.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA
