Hit_tcid	Hit_xid	#Query_id	Match_length	e-value	%_identity	Query_Length	Hit_Length	Q_start	Q_end	S_start	S_end	Query_Coverage	Hit_Coverage	Query_n_TMS	Hit_n_TMS	TM_Overlap_Score	Family_Abrv	Predicted_Substrate	Query_Pfam	Subject_Pfam	isFusion	Missing_components	Initial_decision
1.A.43.1.6	Q3B199	WP_013265394.1	115.0	5.52822e-27	49.0	127.0	129.0	5.0	119.0	9.0	121.0	89.8	86.8	3.0	4.0	3.0	Fluc	CHEBI:17051;fluoride	PF02537	PF02537	NA	NA	green
1.A.62.2.1	A0M015	WP_013265862.1	212.0	1.47209e-54	43.0	219.0	215.0	6.0	216.0	2.0	213.0	95.9	98.1	7.0	7.0	7.0	TRIC	CHEBI:24870;ion, CHEBI:3473;cation, CHEBI:25212;metabolite	PF03458,PF03458	PF03458,PF03458	NA	NA	green
1.A.112.2.5	P37908	WP_013265567.1	423.0	4.11136e-42	27.0	421.0	428.0	5.0	415.0	9.0	416.0	97.4	95.1	4.0	4.0	4.0	CNNM	None	PF01595,PF03471,PF00571	PF01595,PF03471,PF00571	NA	NA	Green
1.B.5.1.5	C7M7Z3	WP_013265693.1	362.0	2.81496e-148	57.0	386.0	404.0	25.0	386.0	45.0	404.0	93.5	88.9	0.0	0.0	0.0	POP	CHEBI:25367;molecule	PF07396	PF07396	NA	NA	green
1.B.6.1.6	Q9S3R8	WP_013264190.1	382.0	4.31754e-12	25.0	362.0	380.0	2.0	349.0	4.0	363.0	95.9	94.5	0.0	0.0	0.0	OOP	CHEBI:25367;molecule	PF00691	PF00691	NA	NA	Green
1.B.6.1.6	Q9S3R8	WP_013264334.1	391.0	2.78899e-33	29.0	387.0	380.0	1.0	372.0	1.0	364.0	95.9	95.5	0.0	0.0	0.0	OOP	CHEBI:25367;molecule	PF00691	PF00691	NA	NA	green
1.B.6.1.6	Q9S3R8	WP_044045882.1	395.0	9.04525e-10	23.0	384.0	380.0	2.0	366.0	4.0	354.0	94.8	92.1	1.0	0.0	0.0	OOP	CHEBI:25367;molecule	PF00691	PF00691	NA	NA	Green
1.B.6.1.14	K1LZ89	WP_044046062.1	631.0	4.33515e-55	28.0	697.0	638.0	17.0	613.0	10.0	617.0	85.5	95.1	1.0	1.0	1.0	OOP	CHEBI:25367;molecule	PF00691,PF07676,PF07676	PF00691,PF07676,PF07676,PF07676	NA	NA	green
1.B.9.4.2	E7RSN2	WP_013265657.1	558.0	0.0	54.0	542.0	542.0	1.0	542.0	1.0	542.0	99.8	99.8	0.0	0.0	0.0	FadL	None	NA	NA	NA	NA	green
1.B.14.1.30	P72609	WP_013264957.1	721.0	1.11382e-85	30.0	769.0	853.0	57.0	769.0	194.0	853.0	92.6	77.3	1.0	0.0	0.0	OMR	CHEBI:84734;Fe(III)-complexed siderophore	PF00593,PF07715	PF00593,PF07715,PF11741	NA	NA	green
1.B.14.3.1	P06129	WP_013263825.1	584.0	8.77363e-24	24.0	691.0	614.0	75.0	641.0	30.0	558.0	81.9	86.0	1.0	0.0	0.0	OMR	CHEBI:17439;cyanocob(III)alamin	PF00593,PF07715	PF00593,PF07715	NA	NA	green
1.B.14.3.1	P06129	WP_013264288.1	666.0	1.74747e-17	22.0	659.0	614.0	8.0	657.0	7.0	612.0	98.5	98.5	0.0	0.0	0.0	OMR	CHEBI:17439;cyanocob(III)alamin	PF00593,PF07715	PF00593,PF07715	NA	NA	Green
1.B.14.3.7	Q0HZ17	WP_013265726.1	745.0	3.58738e-13	21.0	682.0	720.0	3.0	677.0	2.0	719.0	98.8	99.6	0.0	0.0	0.0	OMR	CHEBI:25367;molecule	PF00593	PF00593,PF07715	NA	NA	green
1.B.14.6.1	Q45780	WP_013264104.1	1079.0	3.33739e-144	32.0	978.0	1038.0	6.0	978.0	12.0	1038.0	99.4	98.8	1.0	1.0	1.0	OMR	CHEBI:17593;maltooligosaccharide	PF00593,PF07715,PF13715	PF07715,PF00593,PF13715,PF13620	NA	NA	Green
1.B.14.6.1	Q45780	WP_013264627.1	947.0	4.1400099999999997e-78	27.0	911.0	1038.0	50.0	911.0	133.0	1038.0	94.5	87.2	0.0	1.0	0.0	OMR	CHEBI:17593;maltooligosaccharide	PF00593,PF07715	PF07715,PF00593,PF13715,PF13620	NA	NA	Green
1.B.14.6.1	Q45780	WP_013264656.1	1083.0	5.90591e-37	23.0	939.0	1038.0	3.0	939.0	12.0	1036.0	99.7	98.7	0.0	1.0	0.0	OMR	CHEBI:17593;maltooligosaccharide	PF00593,PF07715,PF13715	PF07715,PF00593,PF13715,PF13620	NA	NA	Green
1.B.14.6.1	Q45780	WP_013264848.1	1084.0	2.52506e-114	30.0	995.0	1038.0	2.0	995.0	12.0	1038.0	99.8	98.8	1.0	1.0	1.0	OMR	CHEBI:17593;maltooligosaccharide	PF00593,PF13715,PF07715,PF13620	PF07715,PF00593,PF13715,PF13620	NA	NA	Green
1.B.14.6.1	Q45780	WP_013264965.1	1063.0	0.0	48.0	1021.0	1038.0	1.0	1021.0	14.0	1038.0	99.9	98.7	1.0	1.0	1.0	OMR	CHEBI:17593;maltooligosaccharide	PF00593,PF07715,PF13715,PF13620	PF07715,PF00593,PF13715,PF13620	NA	NA	green
1.B.14.6.1	Q45780	WP_013265855.1	1180.0	4.67002e-75	26.0	1102.0	1038.0	1.0	1102.0	20.0	1036.0	99.9	97.9	1.0	1.0	1.0	OMR	CHEBI:17593;maltooligosaccharide	PF13715,PF07715,PF13620	PF07715,PF00593,PF13715,PF13620	NA	NA	Green
1.B.14.6.2	Q93TH9	WP_013264268.1	1139.0	0.0	53.0	1128.0	1125.0	1.0	1128.0	1.0	1125.0	99.9	99.9	1.0	1.0	1.0	OMR	CHEBI:25367;molecule	PF07715,PF13715,PF00593,PF13620	PF00593,PF07715,PF13715,PF13620	NA	NA	green
1.B.14.6.2	Q93TH9	WP_013265148.1	1113.0	2.60112e-140	32.0	1058.0	1125.0	37.0	1058.0	30.0	1125.0	96.5	97.3	1.0	1.0	0.0	OMR	CHEBI:25367;molecule	PF00593,PF07715,PF13715,PF13620	PF00593,PF07715,PF13715,PF13620	NA	NA	Green
1.B.14.6.2	Q93TH9	WP_013265614.1	122.0	0.00053453	30.0	237.0	1125.0	96.0	213.0	8.0	121.0	49.4	10.0	0.0	1.0	0.0	OMR	CHEBI:25367;molecule	PF13715	PF00593,PF07715,PF13715,PF13620	NA	NA	Green
1.B.14.6.12	H6L5X3	WP_108235557.1	821.0	1.01685e-108	31.0	850.0	775.0	65.0	850.0	22.0	775.0	92.4	97.2	1.0	0.0	0.0	OMR	CHEBI:25367;molecule	PF13715,PF13620,PF07715	PF13715,PF07715	NA	NA	green
1.B.14.6.13	Q8A8X1	WP_013264903.1	932.0	0.0	50.0	1063.0	940.0	142.0	1063.0	29.0	940.0	86.6	96.9	0.0	0.0	0.0	OMR	CHEBI:25367;molecule	PF07715,PF13715,PF13620	PF00593,PF07715	NA	NA	Green
1.B.14.6.13	Q8A8X1	WP_013265056.1	923.0	0.0	41.0	1112.0	940.0	209.0	1111.0	28.0	939.0	81.1	96.9	1.0	0.0	0.0	OMR	CHEBI:25367;molecule	PF07715,PF13715,PF07660	PF00593,PF07715	NA	NA	Green
1.B.14.6.13	Q8A8X1	WP_013265220.1	1057.0	4.1116799999999996e-132	30.0	1125.0	940.0	101.0	1125.0	9.0	940.0	91.0	99.0	1.0	0.0	0.0	OMR	CHEBI:25367;molecule	PF07715,PF13715,PF13620	PF00593,PF07715	NA	NA	Green
1.B.14.6.13	Q8A8X1	WP_013265755.1	941.0	0.0	48.0	1033.0	940.0	113.0	1033.0	11.0	940.0	89.1	98.8	1.0	0.0	0.0	OMR	CHEBI:25367;molecule	PF00593,PF07715,PF13715,PF13620	PF00593,PF07715	NA	NA	Green
1.B.14.6.13	Q8A8X1	WP_013265872.1	943.0	0.0	48.0	1036.0	940.0	106.0	1036.0	9.0	940.0	89.8	99.0	1.0	0.0	0.0	OMR	CHEBI:25367;molecule	PF07715,PF13715,PF13620	PF00593,PF07715	NA	NA	green
1.B.14.6.15	WP_024031917	WP_013265402.1	1139.0	8.17592e-108	29.0	1086.0	1047.0	1.0	1086.0	5.0	1047.0	99.9	99.5	1.0	1.0	1.0	OMR	None	PF13620,PF13715,PF07715	PF13620	NA	NA	green
1.B.14.6.16	BAE20199	WP_013264360.1	1089.0	1.30133e-103	29.0	1061.0	1036.0	3.0	1036.0	2.0	1012.0	97.4	97.5	1.0	0.0	0.0	OMR	None	PF07715,PF13715,PF13620	PF00593,PF07715,PF13715	NA	NA	Green
1.B.14.6.16	BAE20199	WP_013264777.1	1098.0	5.38855e-124	31.0	1062.0	1036.0	4.0	1062.0	2.0	1036.0	99.6	99.8	1.0	0.0	0.0	OMR	None	PF00593,PF07715,PF13715,PF13620	PF00593,PF07715,PF13715	NA	NA	green
1.B.14.6.16	BAE20199	WP_052299159.1	1139.0	1.37597e-69	25.0	1104.0	1036.0	3.0	1096.0	2.0	1028.0	99.0	99.0	1.0	0.0	0.0	OMR	None	PF00593,PF07715,PF13715,PF13620	PF00593,PF07715,PF13715	NA	NA	Green
1.B.14.6.17	Q8A6W3	WP_013263953.1	1144.0	3.98668e-99	28.0	1118.0	1041.0	27.0	1118.0	21.0	1041.0	97.6	98.0	1.0	1.0	0.0	OMR	None	PF00593,PF07715,PF13715,PF13620	PF00593,PF07715,PF13715	NA	NA	Green
1.B.14.6.17	Q8A6W3	WP_013264909.1	1104.0	5.85509e-104	28.0	1161.0	1041.0	112.0	1161.0	17.0	1041.0	90.4	98.4	1.0	1.0	0.0	OMR	None	PF00593,PF07715,PF13715	PF00593,PF07715,PF13715	NA	NA	Green
1.B.14.6.17	Q8A6W3	WP_013265233.1	102.0	2.1159e-11	37.0	237.0	1041.0	119.0	219.0	29.0	124.0	42.2	9.1	0.0	1.0	0.0	OMR	None	PF13715,PF13620	PF00593,PF07715,PF13715	NA	NA	Green
1.B.14.6.17	Q8A6W3	WP_013265389.1	1016.0	1.06139e-97	29.0	1009.0	1041.0	40.0	970.0	27.0	1023.0	92.2	95.7	0.0	1.0	0.0	OMR	None	PF00593,PF07715,PF13715	PF00593,PF07715,PF13715	NA	NA	Green
1.B.14.6.17	Q8A6W3	WP_013265892.1	1054.0	7.69079e-75	26.0	1088.0	1041.0	124.0	1088.0	31.0	1041.0	88.6	97.0	1.0	1.0	0.0	OMR	None	PF00593,PF07715,PF13715,PF07660	PF00593,PF07715,PF13715	NA	NA	Green
1.B.14.6.17	Q8A6W3	WP_044045795.1	1062.0	0.0	46.0	1039.0	1041.0	1.0	1039.0	5.0	1041.0	99.9	99.5	1.0	1.0	1.0	OMR	None	PF00593,PF07715,PF13715	PF00593,PF07715,PF13715	NA	NA	green
1.B.14.6.17	Q8A6W3	WP_044045829.1	1003.0	3.1415e-81	28.0	1083.0	1041.0	120.0	1046.0	31.0	998.0	85.5	92.9	1.0	1.0	0.0	OMR	None	PF00593,PF07715,PF13715,PF13620	PF00593,PF07715,PF13715	NA	NA	Green
1.B.14.6.17	Q8A6W3	WP_044045842.1	1094.0	5.2773e-105	29.0	1075.0	1041.0	32.0	1075.0	22.0	1041.0	97.0	97.9	1.0	1.0	0.0	OMR	None	PF07715,PF13715,PF13620	PF00593,PF07715,PF13715	NA	NA	Green
1.B.14.6.17	Q8A6W3	WP_044046104.1	1095.0	1.8011300000000001e-96	28.0	1082.0	1041.0	34.0	1082.0	30.0	1041.0	96.9	97.1	1.0	1.0	0.0	OMR	None	PF00593,PF07715,PF13715,PF13620	PF00593,PF07715,PF13715	NA	NA	Green
1.B.14.6.17	Q8A6W3	WP_044046138.1	1096.0	9.77926e-103	27.0	1098.0	1041.0	53.0	1096.0	27.0	1039.0	95.0	97.2	1.0	1.0	0.0	OMR	None	PF00593,PF07715,PF13715,PF13620	PF00593,PF07715,PF13715	NA	NA	Green
1.B.14.6.17	Q8A6W3	WP_044046159.1	1050.0	3.16754e-133	31.0	1039.0	1041.0	60.0	1039.0	35.0	1041.0	94.2	96.6	1.0	1.0	0.0	OMR	None	PF00593,PF07715,PF13715	PF00593,PF07715,PF13715	NA	NA	Green
1.B.14.8.2	Q2M5P4	WP_013265372.1	805.0	1.2057300000000002e-40	22.0	831.0	662.0	12.0	807.0	1.0	644.0	95.7	97.1	0.0	0.0	0.0	OMR	CHEBI:33307;thiocarboxylic acid	PF00593,PF07715	PF00593,PF07715,PF14905	NA	NA	green
1.B.14.10.2	Q1DCQ0	WP_044045919.1	591.0	1.02714e-36	27.0	821.0	671.0	101.0	681.0	57.0	562.0	70.6	75.3	1.0	0.0	0.0	OMR	CHEBI:25367;molecule	PF00593,PF07715,PF13715,PF13620	PF00593,PF07715	NA	NA	green
1.B.14.14.1	Q8A552	WP_044046017.1	802.0	1.25958e-156	35.0	794.0	743.0	1.0	794.0	1.0	743.0	99.9	99.9	0.0	0.0	0.0	OMR	CHEBI:9530;thiamine(1+)	PF07715	PF00593,PF07715,PF14905	NA	NA	green
1.B.14.15.2	D5ESR8	WP_013265443.1	791.0	0.0	46.0	798.0	776.0	12.0	798.0	8.0	776.0	98.5	99.0	1.0	0.0	0.0	OMR	CHEBI:25367;molecule	PF14121	PF14121	NA	NA	green
1.B.18.3.3	A5FN23	WP_044045877.1	271.0	8.792280000000001e-34	32.0	266.0	263.0	1.0	263.0	1.0	257.0	98.5	97.3	2.0	2.0	2.0	OMA	CHEBI:24403;glycosyl group	PF02563,PF10531	PF02563	NA	NA	green
1.B.38.1.10	Q8A6W4	WP_013265074.1	593.0	1.1364e-14	22.0	537.0	570.0	18.0	535.0	17.0	570.0	96.3	97.0	0.0	0.0	0.0	TP-MSP	None	PF07980,PF14322	PF07980,PF14322	NA	NA	Green
1.B.38.1.10	Q8A6W4	WP_088582082.1	578.0	4.98733e-113	40.0	569.0	570.0	11.0	569.0	18.0	570.0	98.1	96.8	0.0	0.0	0.0	TP-MSP	None	PF07980,PF14322	PF07980,PF14322	NA	NA	green
1.B.38.4.3	WP_076422674	WP_013264542.1	358.0	9.54165e-23	28.0	335.0	347.0	1.0	321.0	5.0	334.0	95.5	94.8	0.0	0.0	0.0	TP-MSP	None	PF16411,PF17142	PF14292,PF16411	NA	NA	green
1.B.42.1.8	L7WGX6	WP_013264431.1	914.0	2.57163e-131	32.0	948.0	894.0	43.0	938.0	22.0	887.0	94.4	96.8	2.0	0.0	0.0	LPS-EP	CHEBI:6494;lipopolysaccharide	PF19838	PF19838	NA	NA	green
1.B.44.1.2	E6K3Q6	WP_013264787.1	248.0	1.9234e-123	70.0	248.0	247.0	1.0	248.0	1.0	247.0	99.6	99.6	0.0	0.0	0.0	PorT	CHEBI:25367;molecule	PF13568	PF13568	NA	NA	green
1.B.57.4.2	B0MXU0	WP_044046077.1	318.0	2.04249e-24	28.0	317.0	323.0	4.0	297.0	2.0	302.0	92.4	92.9	0.0	2.0	0.0	LM-OMP	None	NA	PF19572	NA	NA	green
1.B.57.4.6	D9RR74	WP_013264283.1	388.0	0.0	100.0	388.0	388.0	1.0	388.0	1.0	388.0	99.7	99.7	0.0	0.0	0.0	LM-OMP	None	PF19572	PF19572	NA	NA	green
1.B.75.2.1	H6L3E7	WP_044045839.1	274.0	3.8892e-15	26.0	260.0	276.0	3.0	260.0	15.0	276.0	98.8	94.6	1.0	1.0	1.0	DUF481	None	PF04338	PF04338	NA	NA	green
1.B.93.3.1	SUB87899	WP_013264257.1	689.0	0.0	81.0	681.0	708.0	1.0	681.0	1.0	689.0	99.9	97.2	1.0	1.0	1.0	MipA	None	PF13205	PF13205	NA	NA	green
1.C.82.1.1	Q9ZK21	WP_013264682.1	223.0	9.11576e-71	48.0	230.0	234.0	3.0	225.0	4.0	226.0	96.5	94.9	0.0	0.0	0.0	HP2-20	CHEBI:25367;molecule	PF00687	PF00687	NA	NA	Green
1.C.113.1.3	A4VGV1	WP_013264678.1	200.0	2.35228e-36	34.0	218.0	205.0	12.0	210.0	5.0	200.0	90.8	95.1	7.0	7.0	7.0	Hly III	CHEBI:25367;molecule	PF03006	PF03006	NA	NA	green
1.E.14.1.13	C7M4K8	WP_013264496.1	110.0	3.93512e-34	50.0	167.0	114.0	1.0	110.0	2.0	111.0	65.3	95.6	3.0	3.0	3.0	CidA/LrgA Holin	None	PF03788	PF03788	NA	NA	green
1.E.34.4.2	E0NRR4	WP_013265805.1	117.0	1.83148e-44	62.0	117.0	116.0	1.0	117.0	1.0	116.0	99.1	99.1	2.0	2.0	2.0	PAH-X	None	PF07332	PF07332	NA	NA	green
1.E.43.1.11	Q63RX0	WP_009434647.1	77.0	6.611060000000002e-24	55.0	84.0	115.0	2.0	78.0	36.0	111.0	90.5	65.2	3.0	3.0	3.0	T-A Hol	None	PF04226	PF04226	NA	NA	green
2.A.1.7.8	Q8EBL0	WP_013265638.1	433.0	1.08046e-73	35.0	402.0	435.0	3.0	402.0	7.0	430.0	99.3	97.2	12.0	12.0	12.0	MFS	CHEBI:28009;N-acetyl-beta-D-glucosamine	PF07690	PF07690	NA	NA	Green
2.A.1.7.8	Q8EBL0	WP_088582090.1	442.0	5.25947e-76	37.0	407.0	435.0	3.0	404.0	7.0	431.0	98.5	97.5	12.0	12.0	11.0	MFS	CHEBI:28009;N-acetyl-beta-D-glucosamine	PF07690	PF07690	NA	NA	green
2.A.1.7.10	A1S5F4	WP_013265624.1	426.0	9.65765e-45	30.0	427.0	415.0	6.0	423.0	19.0	410.0	97.7	94.2	12.0	12.0	12.0	MFS	CHEBI:5418;glucose	PF07690	PF07690	NA	NA	green
2.A.1.7.17	Q8A6W8	WP_013264424.1	372.0	0.0	72.0	386.0	389.0	9.0	379.0	12.0	383.0	95.9	95.4	12.0	12.0	12.0	MFS	CHEBI:5172;fructose	PF07690	PF07690	NA	NA	green
2.A.1.10.1	P0AFF4	WP_013265310.1	420.0	6.62969e-134	48.0	420.0	418.0	1.0	418.0	1.0	405.0	99.3	96.7	12.0	12.0	12.0	MFS	CHEBI:4053;cytidine, CHEBI:2472;adenosine, CHEBI:5564;guanosine, CHEBI:9579;thymidine, CHEBI:5927;inosine	PF03825,PF12832	PF03825,PF12832	NA	NA	green
2.A.1.25.6	KKY61289	WP_013264058.1	404.0	4.796800000000001e-71	33.0	437.0	433.0	21.0	412.0	10.0	407.0	89.5	91.7	12.0	12.0	11.0	MFS	CHEBI:25906;peptide	NA	PF03092	NA	NA	Green
2.A.1.25.6	KKY61289	WP_013264752.1	431.0	8.52358e-164	52.0	422.0	433.0	1.0	421.0	1.0	429.0	99.5	98.8	12.0	12.0	12.0	MFS	CHEBI:25906;peptide	PF03092	PF03092	NA	NA	green
2.A.1.25.6	KKY61289	WP_013265298.1	410.0	1.6045200000000001e-102	38.0	438.0	433.0	21.0	423.0	12.0	419.0	91.8	94.0	12.0	12.0	12.0	MFS	CHEBI:25906;peptide	PF07690,PF07690	PF03092	NA	NA	Green
2.A.1.35.1	P52067	WP_044045942.1	383.0	2.99411e-137	52.0	401.0	406.0	14.0	396.0	21.0	400.0	95.3	93.3	11.0	12.0	11.0	MFS	CHEBI:443725;fosmidomycin	PF07690,PF07690	PF07690,PF07690	NA	NA	green
2.A.1.46.5	C2UR80	WP_013265615.1	351.0	7.39172e-24	25.0	391.0	407.0	12.0	350.0	19.0	360.0	86.4	83.8	12.0	12.0	11.0	MFS	CHEBI:23765;quinolone	PF07690	PF07690,PF07690,PF03209	NA	NA	Green
2.A.1.49.8	E8UWW5	WP_013265189.1	391.0	1.772e-38	29.0	408.0	417.0	8.0	393.0	21.0	397.0	94.4	90.2	12.0	12.0	12.0	MFS	CHEBI:37550;sphingosine 1-phosphate	PF07690	PF07690,PF03137,PF00083	NA	NA	green
2.A.1.53.5	Q9VS47	WP_013265713.1	492.0	9.89632e-21	21.0	540.0	478.0	12.0	487.0	47.0	420.0	88.0	78.0	14.0	12.0	10.0	MFS	CHEBI:2642;alpha-amino acid	PF07690	PF07690,PF07690	NA	NA	green
2.A.1.57.4	Q1D1G6	WP_013263851.1	389.0	6.07284e-40	28.0	400.0	403.0	13.0	396.0	8.0	388.0	95.8	94.3	12.0	12.0	12.0	MFS	CHEBI:26672;siderophore	PF07690	PF07690,PF13000	NA	NA	green
2.A.4.3.9	Q1LRZ2	WP_013265388.1	236.0	1.8826899999999999e-31	35.0	210.0	382.0	11.0	207.0	50.0	284.0	93.3	61.3	4.0	6.0	4.0	CDF	CHEBI:3290;cadmium(2+), CHEBI:23337;cobalt(2+), CHEBI:10113;zinc(2+)	PF01545	PF01545	NA	NA	green
2.A.6.2.22	Q8RTE3	NA	492.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA
2.A.6.2.22	Q8RTE4	WP_013264969.1	1057.0	0.0	39.0	1087.0	1040.0	6.0	1053.0	6.0	1029.0	96.3	98.4	12.0	12.0	12.0	RND	CHEBI:30762;salicylate, CHEBI:8858;rifampicin, CHEBI:3717;ciprofloxacin, CHEBI:7629;norfloxacin, CHEBI:3603;chloramphenicol, CHEBI:3497;cefotaxime, CHEBI:3098;bile acid, CHEBI:9474;tetracycline, CHEBI:42478;ethidium, CHEBI:4841;erythromycin A	PF00873,PF03176,PF03176	PF00873,PF03176	NA	['Q8RTE3', 'Q8RTE5']	Yellow
2.A.6.2.22	Q8RTE4	WP_013265254.1	1038.0	0.0	37.0	1066.0	1040.0	3.0	1035.0	4.0	1031.0	96.8	98.8	12.0	12.0	12.0	RND	CHEBI:30762;salicylate, CHEBI:8858;rifampicin, CHEBI:3717;ciprofloxacin, CHEBI:7629;norfloxacin, CHEBI:3603;chloramphenicol, CHEBI:3497;cefotaxime, CHEBI:3098;bile acid, CHEBI:9474;tetracycline, CHEBI:42478;ethidium, CHEBI:4841;erythromycin A	PF00873,PF03176,PF02355	PF00873,PF03176	NA	['Q8RTE3', 'Q8RTE5']	Yellow
2.A.6.2.22	Q8RTE5	NA	367.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA	NA
2.A.6.4.3	Q5SKE6	WP_013264750.1	631.0	2.9084500000000004e-107	35.0	1006.0	735.0	375.0	1002.0	160.0	735.0	62.3	78.2	12.0	11.0	10.0	RND	CHEBI:24636;proton, CHEBI:8526;protein polypeptide chain	PF02355,PF02355,PF07549,PF03176	PF02355,PF02355,PF07549,PF07549	NA	NA	green
2.A.7.3.36	O29740	WP_013265461.1	290.0	3.86618e-14	25.0	303.0	289.0	16.0	299.0	8.0	282.0	93.4	94.8	10.0	10.0	10.0	DMT	None	PF00892,PF00892	PF00892,PF00892	NA	NA	green
2.A.7.3.57	Q89ZY3	WP_013265511.1	309.0	1.82858e-137	63.0	308.0	299.0	1.0	308.0	1.0	299.0	99.7	99.7	10.0	10.0	10.0	DMT	None	PF00892	PF00892,PF00892	NA	NA	green
2.A.7.3.65	M4V8N5	WP_013263884.1	283.0	2.00672e-21	25.0	307.0	301.0	9.0	287.0	21.0	297.0	90.6	91.7	10.0	10.0	10.0	DMT	CHEBI:8843;riboflavin	PF00892,PF00892	PF00892,PF00892	NA	NA	green
2.A.7.3.87	KMY31943	WP_013264271.1	284.0	1.78556e-27	30.0	293.0	302.0	13.0	287.0	9.0	282.0	93.5	90.4	10.0	10.0	10.0	DMT	CHEBI:8147;phosphoenolpyruvate	PF00892,PF00892	PF00892,PF00892	NA	NA	green
2.A.9.3.1	P25714	WP_013265155.1	591.0	1.6158e-29	24.0	643.0	548.0	10.0	568.0	8.0	520.0	86.8	93.4	6.0	3.0	3.0	YidC/Alb3/Oxa1	CHEBI:8526;protein polypeptide chain	PF02096,PF14849	PF14849,PF02096	NA	NA	green
2.A.17.1.6	Q5M4H8	WP_013264444.1	527.0	7.49539e-48	27.0	509.0	483.0	2.0	501.0	8.0	479.0	98.0	97.5	14.0	14.0	14.0	POT/PTR	CHEBI:9742;tripeptide, CHEBI:4634;dipeptide	PF00854,PF00854,PF07690	PF00854,PF07690	NA	NA	green
2.A.19.5.2	Q0ZAI3	WP_013264692.1	318.0	1.97669e-71	38.0	311.0	319.0	1.0	310.0	1.0	316.0	99.4	98.7	10.0	10.0	10.0	CaCA	CHEBI:3308;calcium(2+), CHEBI:9175;sodium(1+), CHEBI:5584;hydron	PF01699,PF01699	PF01699,PF01699	NA	NA	green
2.A.21.5.7	Q9Y289	WP_013265664.1	399.0	2.57477e-24	26.0	480.0	635.0	33.0	412.0	62.0	446.0	79.0	60.5	13.0	13.0	10.0	SSS	CHEBI:5946;iodide, CHEBI:9175;sodium(1+), CHEBI:14739;pantothenate, CHEBI:3108;biotin, CHEBI:17460;lipoamide, CHEBI:33229;vitamin	PF00474	PF00474	NA	NA	green
